record_id,content_hash,semantic_content_hash,fiscal_year_from_content,agency_pseudonym,workflow_stage_from_content,schema_version,identity_agreement,duplicate_of,variant_of,data_role,ground_truth_status,in_research_scope,contamination,sensitivity,file_size_bytes,formula_cache_state,identity_collision
P1REG-0011,e7d6564a6ffebf9266845cc61dbdd50fe99f5c4c068988963cf34ce2dcff8012,f63299f7cf6ab5541b38aab4c56f07634381c50011915c74d312584efd0dab4a,2570,A1,req_ministry_2_5,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,False,unassigned,real_agency_data,197662,partially_cached,False
P1REG-0012,c0434d730db23f01324e714fc79c64f483ff55216b6110aa3bc853120dc6cca4,417c51424b78591d363eb2ba9a7f7d9be1fe828c9e5439776cc748b49546a258,2568,,,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,False,unassigned,real_agency_data,88256,fully_cached,False
P1REG-0013,4e63aa274cfc7b42be16d491bd339e9d1f17061ab13bb65cfae2f57b5995c034,d3389fb089c9d928447e0a50c56178c3cefb053af81a326a72a43607bd1cd0ab,2569,A4,req_operating_unit_2_3,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,True,unassigned,real_agency_data,72751,partially_cached,False
P1REG-0014,390260eb03aaa43711c027c4518438ca2ed1af7572ad0dbc8749cfae152a2fae,ea18284a0b7b57fc48de6baf3c6348fe67bbf5bdcd66741fc92a1381f6c993dc,2570,A4,bb_officer_3_1,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,True,unassigned,real_agency_data,101942,fully_cached,False
P1REG-0015,f3ee1fc4391d2f8cb3921d6d6bfeef11798d0b8f7d4b08fb2e2381eee02ec3be,c4d151fad12bd86e9132246a601a6934e110419f008796fed392c81b122d7802,2569,A3,req_operating_unit_2_3,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,True,unassigned,real_agency_data,69428,partially_cached,False
P1REG-0016,2cc56d7e79b9b4b565c2714fe4efd4ac3563a8c83a7924ead522914b0f13ac44,ebcac47cc53181a31daaf12bdc792f7d6a89489c8b8713dd56f567c74c1a7d39,2570,A3,bb_officer_3_1,BIS1010/13SHEET,partial_match,,,UNASSIGNED,none,True,unassigned,real_agency_data,85439,fully_cached,False
P1REG-0017,72fc0f3a73e97c0560140c5d1d83d93bf5ef58f1e569007a371e7fd4999d7a35,d6f8b4d3eb5bab93eeb822328cf8e60f124fd3256dc8f64aad159d16ecc9cf6e,2570,A1,,P1OUT/4SHEET/PRECHECK,match,,,UNASSIGNED,none,False,unassigned,real_agency_data,209030,no_cached_values,False
P1REG-0018,bd10e79c32fca15a26b7654af3cfd7ac26e0bf062468d7cdec46edf2252e3566,70d91f7309096471107fba9f1cc327df3ae1a7d66dc393cf81b3f4666bdb2e54,2570,A2,,P1OUT/4SHEET/PRECHECK,match,,,UNASSIGNED,none,False,unassigned,real_agency_data,341229,no_cached_values,True
P1REG-0019,804b9c598615950bea29d18fa07ddaaa51c9438c806c5305526d517ce551eff2,7e9d085e823a2be584a8d25ba140977caf874deaffed3d395e0703409fe85554,2570,A3,,P1OUT/4SHEET/PRECHECK,match,,,UNASSIGNED,none,True,unassigned,real_agency_data,28441,no_cached_values,False
P1REG-0020,3dee32627f18edbfbca913a3ff133ebb39ed25dd7e13ad6556223346c5f13ad9,204ad576d8b33ab0c6b68dfcdd5f5241a29dad2e42845d3258a8fecb7ed90227,2570,A4,,P1OUT/4SHEET/PRECHECK,match,,,UNASSIGNED,none,True,mapping_donor,real_agency_data,42197,no_cached_values,False
P1REG-0021,00367a93a5ba5795343fb4c3bedf2ef45b39dedb1d41d8167b5d44f75857cabb,52f0711cb65968a80659f2805fea7191eb1db4b05299a3f8691e7a29734c6eba,2569,A2,bb_officer_3_1,BIS1010/13SHEET,partial_match,P1REG-0009,,UNASSIGNED,none,False,unassigned,real_agency_data,523974,fully_cached,False
P1REG-0022,c0434d730db23f01324e714fc79c64f483ff55216b6110aa3bc853120dc6cca4,417c51424b78591d363eb2ba9a7f7d9be1fe828c9e5439776cc748b49546a258,2568,,,BIS1010/13SHEET,partial_match,P1REG-0012,,UNASSIGNED,none,False,unassigned,real_agency_data,88256,fully_cached,False
